0,0,0,0,0,0
0,0,0,0,0,-0
2.2204e-016,-1.6653e-016,-1.1102e-016,-33.693,0,0
0,0,0,0,0,-0
-0.10678,-7.2164e-016,9.992e-016,-35.84,0,0
0,0,0,0,0,-0
-0.22104,0.018204,-0.08398,-12.232,-4.1723,0
0,0,0,0,0,-0
-0.36075,0.055805,-0.1877,-16.559,-10.681,0
0,0,0,0,0,-0
-0.5432,0.10431,-0.29379,-19.548,-20.016,0
0,0,0,0,0,-0
-0.78882,0.15235,-0.40536,-20.6,-35.362,0
0,0,0,0,0,-0
-1.1241,0.19678,-0.52875,-20.415,-64.021,0
4.4409e-016,0,0,0,0,-0
-1.5861,0.24485,-0.67351,-19.98,-104.64,0
0,0,0,0,0,-0
-2.2286,0.30855,-0.85484,-19.848,-132.4,0
4.4409e-016,0,0,0,0,-0
-3.1301,0.40031,-1.0956,-20.072,-146.04,0
0,0,0,0,0,-0
-4.407,0.53299,-1.4302,-20.441,-153.11,0
8.8818e-016,0,0,0,0,-0
-6.2391,0.72168,-1.9077,-20.723,-157.16,0
0,0,0,0,0,-0
-8.9159,0.98106,-2.5797,-20.823,-159.85,0
8.8818e-016,0,0,0,0,-0
-12.855,1.3012,-3.4063,-20.908,-162.36,0
-8.8818e-016,0,0,0,0,-0
-18.315,1.6549,-4.2394,-21.326,-164.95,0
8.8818e-016,0,0,0,0,-0
-25.514,2.153,-5.3706,-21.847,-166.52,0
-8.8818e-016,0,0,0,0,-0
-35.349,2.8989,-7.3023,-21.654,-166.98,0
-8.8818e-016,0,0,0,0,-0
-49.07,3.9375,-10.438,-20.669,-166.84,0
8.8818e-016,0,0,0,0,-0
-68.246,5.3524,-15.28,-19.306,-166.4,0
8.8818e-016,0,0,0,0,-0
-94.986,7.2814,-22.535,-17.908,-165.81,0
0,0,0,0,0,-0
-132.19,9.9231,-33.183,-16.65,-165.18,0
0,0,0,0,0,-0
-183.88,13.555,-48.563,-15.596,-164.57,0
0,0,0,0,0,-0
-255.62,18.56,-70.492,-14.752,-164.01,0
0,0,0,0,0,-0
-355.14,25.471,-101.43,-14.097,-163.54,0
0,0,0,0,0,-0
-493.2,35.024,-144.71,-13.606,-163.17,0
0,0,0,0,0,-0
-684.71,48.24,-204.87,-13.251,-162.89,0
0,0,0,0,0,-0
-950.44,66.532,-288.08,-13.005,-162.71,0
1.7764e-015,0,0,0,0,-0
-1319.2,91.857,-402.84,-12.846,-162.6,0
0,0,0,0,0,-0
-1831.1,126.92,-560.82,-12.753,-162.57,0
0,0,0,0,0,-0
-2541.9,175.47,-778.15,-12.708,-162.58,0
0,0,0,0,0,-0
-3528.8,242.7,-1077.2,-12.698,-162.63,0
0,0,0,0,0,-0
-4899.6,335.77,-1489.1,-12.708,-162.7,0
0,0,0,0,0,-0
-6803.4,464.64,-2057,-12.73,-162.79,0
1.7764e-015,0,0,0,0,-0
-9448,643.07,-2841.1,-12.755,-162.87,0
0,0,0,0,0,-0
-13122,890.14,-3925.5,-12.777,-162.96,0
0,0,0,0,0,-0
-18225,1232.3,-5427.1,-12.794,-163.03,0
0,0,0,0,0,-0
-25315,1706.2,-7509,-12.802,-163.09,0
0,0,0,0,0,-0
-35163,2362.7,-10398,-12.802,-163.14,0
0,0,0,0,0,-0
-48844,3272.2,-14412,-12.793,-163.18,0
0,0,0,0,0,-0
-67848,4532.7,-19989,-12.777,-163.2,0
0,0,0,0,0,-0
-94246,6279.9,-27743,-12.755,-163.22,0
0,0,0,0,0,-0
-1.3091e+005,8702.3,-38526,-12.729,-163.22,0
0,0,0,0,0,-0
-1.8185e+005,12061,-53520,-12.701,-163.22,0
0,0,0,0,0,-0
-2.5259e+005,16720,-74371,-12.672,-163.22,0
0,0,0,0,0,-0
-3.5085e+005,23183,-1.0336e+005,-12.642,-163.21,0
0,0,0,0,0,-0
-4.8732e+005,32148,-1.4366e+005,-12.614,-163.2,0
0,0,0,0,0,-0
-6.7687e+005,44589,-1.9968e+005,-12.589,-163.19,0
0,0,0,0,0,-0
-9.4013e+005,61853,-2.7753e+005,-12.565,-163.18,0
3.5527e-015,0,0,0,0,-0
-1.3058e+006,85813,-3.8569e+005,-12.544,-163.18,0
3.5527e-015,0,0,0,0,-0
-1.8136e+006,1.1907e+005,-5.3596e+005,-12.526,-163.17,0
-3.5527e-015,0,0,0,0,-0
-2.5189e+006,1.6523e+005,-7.4468e+005,-12.511,-163.16,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0
